Filename,Track Description,Notes,"Files extracted from the PC version of KH 1.5 + 2.5, credit for Track Descriptions goes to Sonicshadowsilver2 from the KH2 Rando discord. As a remake, filenames may not reflect intent for GBA original"
01F_Town_B.win32.scd,Hand in Hand,Battle before Field is an interesting inconsistency but may just be alphabetical,
01F_Town_F.win32.scd,Traverse Town,,
03F_Hercul.win32.scd,Olympus Coliseum,"Another inconsistency, not Hercules_F",
03F_Hercules_B.win32.scd,Go for It,,
12_Event_Yuttari.win32.scd,La Pace,"ゆったり, Relaxed",
13_Event_Namine.win32.scd,Naminé,,
14_Event_Odayaka.win32.scd,Piccolo Resto,"穏やか (おだやか), Calm. Same designation as Peaceful Hearts from BBS",
15_Event_XIII.win32.scd,Thirteenth Discretion,"Interesting that this is labelled for general Org XIII use and not something more specific, like a traitor theme",
16_XIIIBoss1.win32.scd,The 13th Struggle,,
17_Halloween_F.win32.scd,This is Halloween,,
18_Helloween_B.win32.scd,Spooks of Halloween Town,"One ""hell"" of a typo",
19_Alice_Field.win32.scd,Welcome to Wonderland,,
20_Event_13thFloor.win32.scd,The 13th Floor,"Why is this in the middle of Wonderland? Also, specifically labelled as Event theme, which disagrees with Green Reqiuem's analysis",
21_Alice_Battle.win32.scd,To Our Surprise,,
22_PeterPan_Field.win32.scd,Captain Hook's Pirate Ship,,
23_PeterPan_Battle.win32.scd,Pirate's Gigue,,
24_Pinocchio_Field.win32.scd,A Very Small Wish,,
25_Aladdin_F.win32.scd,A Day in Agrabah,,
26_Aladdin_B.win32.scd,Arabian Dream,,
27_Pinocchio_B.win32.scd,Monstrous Monstro,More related tracks split up with other stuff in-between,
28_Forget_F.win32.scd,Castle Oblivion,"An overly literal TL of Castle Oblivion's JP name, 忘却の城 , could be ""Forget Castle""",
29_Forget_B.win32.scd,Forgotten Challenge,,
30_Twilight_F.win32.scd,Lazy Afternoons,,
31_Twilight_B.win32.scd,Sinister Sundown,,
32_Destiny_F.win32.scd,Destiny Islands,,
33_Destiny_B.win32.scd,Night of Fate,,
34_Boss_RikuAnsem.win32.scd,Revenge of Chaos,"Track associated directly with Riku, not just Ansem, which lines up with Green Reqiuem's analysis",
35_Boss_NiseRiku.win32.scd,The Force in You,"Nise is 偽 (にせ), imitation",
36_WinnieThePooh.win32.scd,Winnie the Pooh,,
37_LastBoss1.win32.scd,Graceful Assassin,,
38_UnderTheSea.win32.scd,Under the Sea,The funniest case of split up tracks,
39_LittleMermaid_B.win32.scd,An Adventure in Atlantica,,
40_LastBoss2.win32.scd,Scythe of Petals,,
41_LastBoss3.win32.scd,Lord of the Castle,,
42_Hollow_F.win32.scd,Hollow Bastion,,
43_Hollow_B.win32.scd,Scherzo Di Notte,,
44_PooGame1.win32.scd,March-A-Long,More inconsistent spelling,
45_PoohGame2.win32.scd,Dash-A-Long,,
Boss1.win32.scd,Struggle Away,,
Boss2_World.win32.scd,The Fight for My Friends,"Boss theme for non-Heartless, i.e. Disney characters, i.e. characters from the World in question",
Event_Unrest.win32.scd,Disquieting,,
Event1_Kinpak.win32.scd,Face It!,"緊迫 (きんぱく), tension, same as Shaded Truths in BBS",
Event2_.win32.scd,Just Wondering,Underscore implies a missing description in the filename,
Event4.win32.scd,Scent of Silence,Where's Event 3? More inconsistent file naming,
Title.win32.scd,Dearly Beloved,,