Filename,Track Description,Japanese,Short for,Meaning,Notes,"Files extracted from the PC version of KH 1.5 + 2.5, credit for Track Descriptions goes to Sonicshadowsilver2 from the KH2 Rando discord"
001sinde_f.win32.scd,Bibbidi-Bobbidi-Boo,シンデ,シンデレラ,Cinderella Field,,
002sinde_b.win32.scd,Castle Escapade,シンデ,シンデレラ,Cinderella Battle,,
003nemure_f.win32.scd,The Silent Forest,ねむれ,眠れる森の美女,Sleeping Beauty Field,Japanese translation of the name is the same as Tchaikovsky's opera,
004nemure_b.win32.scd,The Rustling Forest,ねむれ,眠れる森の美女,Sleeping Beauty Battle,"""nemureru mori no bijou""",
005syugyo_f.win32.scd,The Promised Beginning,しゅぎょ,修行,Training Field,I guess the Land of Departure was considered Keyblade training grounds?,
006syugyo_b.win32.scd,Future Masters,しゅぎょ,修行,Training Battle,"This is the same word as ""shugyo"" in BH6",
007shira_f.win32.scd,The Secret Whispers,しら,白雪姫,Snow White Field,"""shirayuki hime""",
008shira_b.win32.scd,Risky Romp,しら,白雪姫,Snow White Battle,,
009raydi_f.win32.scd,Radiant Garden,-,Radiant,Radiant Garden Field,,
010raydi_b.win32.scd,Black Garden,-,Radiant,Radiant Garden Battle,,
011distow_f.win32.scd,Mickey Mouse March,-,-,Disney Town Field,,
012distow_b.win32.scd,Up Down Adventure,-,-,Disney Town Battle,,
013never_f.win32.scd,Daydream upon Neverland,-,-,Neverland Field,"Interesting that it's not named after the movie like other Disney world themes - maybe ""peter"" would be confused with Pete's theme",
014never_b.win32.scd,Neverland's Scherzo,-,-,Neverland Battle,,
015herc_f.win32.scd,Olympus Coliseum,-,-,Hercules Field,,
016herc_b.win32.scd,Go for It!,-,-,Hercules Battle,,
017riro_f.win32.scd,"Hau'oli, Hau'oli",リロ,-,Lilo and Stitch Field,"Funny that the abbreviation is ""lilo"" when only stitch is featured",
018riro_b.win32.scd,Mákaukau?,リロ,-,Lilo and Stitch Battle,,
019iensid_f.win32.scd,Magical Mystery,イェン・シッド,-,Yen Sid Field,,
020iensid_b.win32.scd,Working Together,イェン・シッド,-,Yen Sid Battle,,
021kouya_f.win32.scd,Keyblade Graveyard Horizon,こうや,荒野,Wasteland,"The Badlands in Japanese are ""mysterious wastelands"" using the same kanji",
022disice_f.win32.scd,Destiny Islands,-,-,Disney Ice Field,"Filename is a bit of a weird mashup - it's for disney icecream, and it's a field theme, but not both at the same time. also, the other ice cream themes have different names and appear later",
023tsusin_f.win32.scd,Dearly Dreams,つしん,通信,Communication,"As in digital communication, between players for multiplayer, as befits the Mirage Arena field theme",
030youki.win32.scd,Innocent Times,ようき,陽気,Cheerful,,
031isamashi.win32.scd,Cheers for the Brave,いさまし,勇ましい,Brave,,
032odayaka.win32.scd,Peaceful Hearts,おだやか,穏やか,Calm,"Same designation as ""Piccolo Resto"" from COM, worth noting ""La Pace"" uses a similar word with slightly different connotations, ""yuttari""",
033fuon.win32.scd,Drops of Poison,ふおん,不穏,Disqueting,"To be clear that's literally the first English synonym Jisho gives me, not necessarily a reference to the existing track",
034kanasii.win32.scd,Tears of the Light,かなしい,悲しい,Sad,,
035kinpaku.win32.scd,Shaded Truths,きんぱく,緊迫,Tension,"As in stress, not to be confused with how colloquially in Japanese ""high tension"" can mean high energy. Same designation as ""Face It!"" from COM",
036seisin.win32.scd,Dive into the Heart -Destati-,せいしん,精神,Mind/Soul/Heart,"Love how this word has a bunch of synonyms that mean different, important things in KH specifically",
037yami.win32.scd,Beyond the Door,やみ,闇,Darkness,,
038ria_deai.win32.scd,Eternal Moments,リアであい,リア出会い,Lea Meeting,"Version of ""At Dusk I Will Think of You"" used for the Lea/Isa cameo appearance",
040anba_b1.win32.scd,The Tumbling,アンバ,アンヴァース,Unversed Battle 1,"Interesting note here: Japanese formally lacks a ""va"" sound, and approximates it with ""ba"", which is what the short name here is doing, but there is a way to designate a ""va"" sound in loanwords, and that's what the full Japanese word for Unversed does",
041anba_b2.win32.scd,Unforgettable,アンバ,アンヴァース,Unversed Battle 2,,
042dis_b1.win32.scd,Vim and Vigor,-,-,Disney Battle 1,,
043dis_b2.win32.scd,The Encounter -Birth by Sleep Version-,-,-,Disney Battle 2,,
044vanita_b.win32.scd,Enter the Darkness,-,-,Vanitas Battle,,
045anthem_b.win32.scd,Black Powder,アンセム,-,Anthem Battle,"Could be Ansem Battle, Japanese ambiguates th/s (see FF7 Flower Girl). Either meaning is interesting but still leaves this track a bit ??? as the FotU replacement",
046last_b1.win32.scd,Unbreakable Chains,-,-,Last Battle 1,,
047last_b2.win32.scd,Dismiss,-,-,Last Battle 2,"Interesting that Unbreakable Chains -> Dismiss is seen as the final battle sequence, with Another Side and Rage Awakened coming much later",
048hanyo_b1.win32.scd,Extreme Encounters,はんよ,汎用,Generic Battle 1,"""han"" for Rowdy Rumble and Shrouding Dark Cloud could mean the same thing?",
049hanyo_b2.win32.scd,Destiny's Force,はんよ,汎用,Generic Battle 2,Never mind that Destiny's Force has a specific purpose this game ignored...,
050title.win32.scd,Dearly Beloved,-,-,Title Screen,,
051worldmap.win32.scd,The Worlds,-,-,World Map,,
060tera.win32.scd,Terra,テラ,-,Terra,,
061aqua.win32.scd,Aqua,-,-,Aqua,,
062ven.win32.scd,Ventus,-,-,Ventus,,
063kairi1.win32.scd,Kairi I,-,-,Kairi I,,
066peet.win32.scd,Hero or Heel,-,-,Pete,"lmao ""peet""",
067disvill.win32.scd,Villains of a Sort,-,-,Disney Villain,,
068zea.win32.scd,Xehanort,ゼア,ゼアノート,Xehanort,,
069braig.win32.scd,Organization XIII,-,-,Braig,Org XIII = Braig? Notable that Xigbar's theme in DDD is an Org 13 arrangement,
070key_l.win32.scd,The Key of Light,-,-,Key (Light),,
071key_d.win32.scd,The Key of Darkness,-,-,Key (Dark),,
072key_l_d.win32.scd,The Key,-,-,Key (Light/Dark),this naming scheme being the inverse of the official track names amuses me,
073kizuna.win32.scd,Destiny's Union,きずな,絆,Bonds,,
074zack.win32.scd,A Date with Fate,-,-,Zack,,
100ice1_128.win32.scd,It's a Small World,-,-,Ice Cream 1,,
101ice1_132.win32.scd,It's a Small World,-,-,Ice Cream 1,"Unsure why two versions, or what 128/132 mean",
102ice_2.win32.scd,Dessert Paradise,-,-,Ice Cream 2,,
103fruit.win32.scd,Fresh Fruit Balls,-,-,Fruit,,
104dice.win32.scd,Dice & Shine,-,-,Dice,,
105poomini.win32.scd,March-A-Long,-,-,Pooh Minigame,,
106cartrace.win32.scd,Go! Go! Rumble Racer,-,-,Kart Race,,
107syugyo.win32.scd,The Promised Beginning,しゅぎょ,修行,Training,Same name as Land of Departure tracks above,
108riro.win32.scd,"Hau'oli, Hau'oli",リロ,-,Lilo and Stitch,,
109training.win32.scd,Road to a Hero,-,-,Training,"Not to be confused with ""syugyo"", the land of departure. unused",
110han_bt1.win32.scd,Rowdy Rumble,はん,?,,"Unsure, same as Hanyo above? in which case lol rowdy rumble generic. Notably used for ""generic""-seeming themes in KH3 as well",
111han_bt2.win32.scd,Shrouding Dark Cloud,はん,?,,"Being so short, ""han"" could be short for a lot of things. One meaning Jisho suggests is 班 ""team"", which makes sense for this track, used for Arena battles, but not Rowdy Rumble",
112rage_bt.win32.scd,Rage Awakened -The Origin-,-,-,Rage Battle,"Interesting that these three tracks abbreviate battle as ""bt"" and not ""b""",
113kh1tit.win32.scd,Dearly Beloved (KH1),-,-,KH1 Title Screen,,
114raceview.win32.scd,Big Race,-,-,Race View,,
115boss.win32.scd,Enter the Void,-,-,Boss,EtV being a generic boss theme ishimoto whipped up explains why it has no motivic connections to vanitas,
116icon.win32.scd,Dearly Beloved (short clip),-,-,Icon,Used when you hover over the game icon on PSP? To be clear these are the PC version files but stuff seems to be preserved: see also Days having music from the game that's not in the movie,
117short_l2.win32.scd,Another Side (Birth by Sleep Version),-,-,?,"The document assembled by the rando devs calls this Battle ver., but I disagree. I wonder what ""short"" means? As in ""short film""? For the secret movie?",
118gumi.win32.scd,Blast Away! -Gummi Ship II-,グミ,-,Gummi Ship,Ice-Cream Beat,
119desti.win32.scd,Destiny Islands,-,-,Destiny Islands,Ice-Cream Beat,
120hand.win32.scd,Hand in Hand,-,-,Hand in Hand,Ice-Cream Beat,
122nazono.win32.scd,Dark Impetus,なぞの,謎の男,Mysterious Figure,"This term, ""enigmatic man"", seems to be used for all cloaked figures of uncertain identity, notably including both MF and KH1's ""Unknown"" Xemnas boss. It's interesting that the English community disambiguates. ",
123rev.win32.scd,Mysterious Figure's Time Reverse Loop,-,-,Reverse,,
124dp_amb.win32.scd,Ambient Wind Sounds from Destroyed Land of Departure,-,-,Departure Ambiance,"Notably not syugyo, does this only play in BBS international/final mix? would make sense that english name is decided by then",
125yami_f.win32.scd,Night in the Dark Dream,やみ,闇,Darkness Field,,
126yami_b.win32.scd,Night of Tragedy,やみ,闇,Darkness Battle,,
127Xeha_b.win32.scd,Forze dell Oscurita,-,Xehanort,Xehanort Battle,"Interesting that these are in proper English and not romanised Japanese, see also dp_amb above",
128Eraqu_b.win32.scd,"Master, Tell Me the Truth",-,Eraqus,Eraqus Battle,,
129Pure_b.win32.scd,Hunter of the Dark,-,Pureblood,Pureblood Heartless Battle,Pure -> Pureblood is my speculation,
130Mons_b.win32.scd,Monstrous Monstro -Arena Ver.-,-,Monstro,Monstro Battle,"If not for context this could easily be ""Monster""",